Date,Settle,Volume
7/21/2017,11.985,268
7/20/2017,12,292
7/19/2017,11.865,186
7/18/2017,11.865,120
7/17/2017,11.84,165
7/14/2017,11.415,4
7/13/2017,11.5,9
7/12/2017,11.575,45
7/11/2017,11.815,30
7/10/2017,11.755,1
7/7/2017,11.72,27
7/6/2017,11.645,38
7/5/2017,11.61,70
7/3/2017,11.515,23
6/30/2017,11.505,543
6/29/2017,11.59,831
6/28/2017,11.425,448
6/27/2017,11.29,1004
6/26/2017,11.18,659
6/23/2017,11.255,700
6/22/2017,11.105,423
6/21/2017,11.175,266
6/20/2017,11.37,436
6/19/2017,11.52,856
6/16/2017,11.4,685
6/15/2017,11.475,1034
6/14/2017,11.03,520
6/13/2017,11.255,1023
6/12/2017,11.3,286
6/9/2017,11.32,804
6/8/2017,11.23,378
6/7/2017,11.23,282
6/6/2017,11.095,437
6/5/2017,11.045,427
6/2/2017,11.12,940
6/1/2017,11.05,628
5/31/2017,11.13,563
5/30/2017,11.185,671
5/26/2017,10.975,231
5/25/2017,10.93,353
5/24/2017,11.055,597
5/23/2017,10.91,513
5/22/2017,11.055,669
5/19/2017,10.83,631
5/18/2017,10.885,646
5/17/2017,10.91,1094
5/16/2017,10.625,508
5/15/2017,10.63,707
5/12/2017,10.23,4
5/11/2017,10.415,60
5/10/2017,10.055,20
5/9/2017,9.645,19
5/8/2017,9.7,1
5/5/2017,9.62,6
5/4/2017,9.65,45
5/3/2017,9.635,9
5/2/2017,9.33,15
5/1/2017,9.355,41
4/28/2017,9.13,116
4/27/2017,9.135,1047
4/26/2017,9.145,975
4/25/2017,9.295,1218
4/24/2017,9.605,1522
4/21/2017,9.77,1533
4/20/2017,9.85,703
4/19/2017,10.05,859
4/18/2017,10.05,1062
4/17/2017,10.1,619
4/13/2017,10.17,698
4/12/2017,10.18,1125
4/11/2017,10.265,761
4/10/2017,10.265,520
4/7/2017,10.23,518
4/6/2017,10.18,856
4/5/2017,10.175,582
4/4/2017,10.07,957
4/3/2017,10.07,1311
3/31/2017,9.895,813
3/30/2017,9.845,690
3/29/2017,9.865,293
3/28/2017,9.755,392
3/27/2017,9.805,672
3/24/2017,9.78,335
3/23/2017,9.85,284
3/22/2017,9.78,295
3/21/2017,9.77,343
3/20/2017,9.855,583
3/17/2017,9.915,782
3/16/2017,9.83,320
3/15/2017,9.675,260
3/14/2017,9.55,38
3/13/2017,9.62,7
3/10/2017,9.465,7
3/9/2017,9.465,41
3/8/2017,9.385,1
3/7/2017,9.275,8
3/6/2017,9.325,0
3/3/2017,9.325,1
3/2/2017,9.355,84
3/1/2017,9.38,73
2/28/2017,9.285,112
2/27/2017,9.355,1569
2/24/2017,9.425,1294
2/23/2017,9.47,1255
2/22/2017,9.46,2612
2/21/2017,9.43,1911
2/17/2017,9.335,1304
2/16/2017,9.34,1163
2/15/2017,9.39,996
2/14/2017,9.435,679
2/13/2017,9.485,539
2/10/2017,9.565,839
2/9/2017,9.475,946
2/8/2017,9.555,730
2/7/2017,9.425,608
2/6/2017,9.485,277
2/3/2017,9.545,229
2/2/2017,9.535,408
2/1/2017,9.53,503
1/31/2017,9.535,1098
1/30/2017,9.765,476
1/27/2017,9.81,411
1/26/2017,9.75,256
1/25/2017,9.84,360
