Ticker,Exchange,Name,Months,Number of Contracts,Quandl Code
FSLI,EUREX,SLI Swiss Leader Index,HMUZ,2,CHRIS/EUREX_FSLI
FSMI,EUREX,SMI,HMUZ,2,CHRIS/EUREX_FSMI
FSMM,EUREX,SMIM ,HMUZ,2,CHRIS/EUREX_FSMM
FSMP,EUREX,Skimmed Milk Powder,FGHJKMNQUVXZ,10,CHRIS/EUREX_FSMP
FTM,CME,MISO Indiana Hub Real-Time Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,10,CHRIS/CME_FTM
FU,SHFE,Fuel Oil,FGHJKMNQUVXZ,2,CHRIS/SHFE_FU
FVS,EUREX,VSTOXX,FGHJKMNQUVXZ,7,CHRIS/EUREX_FVS
FWHY,EUREX,Whey Powder,FGHJKMNQUVXZ,2,CHRIS/EUREX_FWHY
FY,CME,Dated Brent (Platts) to Frontline Brent,FGHJKMNQUVXZ,5,CHRIS/CME_FY
G,ICE,Gasoil,FGHJKMNQUVXZ,13,CHRIS/ICE_G
G,LIFFE,Short Gilt,HMUZ,2,CHRIS/LIFFE_G
GC,CME,Gold,GHJKMQVZ,16,CHRIS/CME_GC
GC,MCX,Gold,GJMQVZ,2,CHRIS/MCX_GC
GCI,CME,Gulf Coast No.6 Fuel Oil 3.0% (Platts) Brent Crack Spread,FGHJKMNQUVXZ,2,CHRIS/CME_GCI
GCU,CME,Gulf Coast No. 6 Fuel Oil 3.0% (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts),FGHJKMNQUVXZ,10,CHRIS/CME_GCU
GD,MCX,Gold Petal New Delhi,FGHJKMNQUVXZ,2,CHRIS/MCX_GD
GE,CME,Gulf Coast Jet Fuel (Platts),FGHJKMNQUVXZ,2,CHRIS/CME_GE
GER,ICE,Endex German GASPOOL,FGHJKMNQUVXZ,2,CHRIS/ICE_GER
GG,MCX,Gold Guinea,FGHJKMNQUVXZ,2,CHRIS/MCX_GG
GI,CME,S and P Goldman Sachs Commodity Index,FGHJKMNQUVXZ,2,CHRIS/CME_GI
GL,CME,Columbia Gulf Louisiana Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,12,CHRIS/CME_GL
GM,MCX,Gold Mini,FGHJKMNQUVXZ,2,CHRIS/MCX_GM
GNM,ICE,Endex German NCG,FGHJKMNQUVXZ,2,CHRIS/ICE_GNM
GOF,SGX,Platts Gasoil FOB Singapore Index,FGHJKMNQUVXZ,2,CHRIS/SGX_GOF
GP,MCX,Gold Petal,FGHJKMNQUVXZ,2,CHRIS/MCX_GP
GRM,MCX,Guar Gum,FGZ,1,CHRIS/MCX_GRM
GRS,MCX,Guar Seed,FHJZ,2,CHRIS/MCX_GRS
GW,ASX,Greasy Wool,GJMQVZ,2,CHRIS/ASX_GW
GY,CME,Gulf Coast ULSD (Platts) Crack Spread,FGHJKMNQUVXZ,22,CHRIS/CME_GY
GZ,CME,European Gasoil Brent Crack Spread,HJKMNQUVXZ,10,CHRIS/CME_GZ
H,LIFFE,Medium Gilt,HMUZ,2,CHRIS/LIFFE_H
H2,CME,ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,46,CHRIS/CME_H2
H3,CME,MISO Indiana Hub (formerly Cinergy Hub) 5 Month Peak Calendar-Month Real-Time,FGHJKMNQUVXZ,20,CHRIS/CME_H3
H4,CME,MISO Indiana Hub (formerly Cinergy Hub) Real-Time Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,58,CHRIS/CME_H4
H5,CME,MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,18,CHRIS/CME_H5
HA,CME,NY Harbor ULSD vs. Gasoil,HJKMNQUVXZ,10,CHRIS/CME_HA
HB,CME,Henry Hub Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,2,CHRIS/CME_HB
HG,CME,Copper,FGHJKMNQUVXZ,11,CHRIS/CME_HG
HH,CME,Natural Gas (Henry Hub) Last-day Financial,FGHJKMNQUVXZ,44,CHRIS/CME_HH
HMO,CME,MISO Michigan Hub 5 MW Off-Peak Calendar-Month Day-Ahead,FGHJKMNQUVXZ,58,CHRIS/CME_HMO
HMW,CME,MISO Michigan Hub 5 MW Peak Calendar-Month Day-Ahead,FGHJKMNQUVXZ,2,CHRIS/CME_HMW
HO,CME,Heating Oil,FGHJKMNQUVXZ,17,CHRIS/CME_HO
HOB,CME,NY Harbor ULSD Brent Crack Spread,FGHJKMNQUVXZ,3,CHRIS/CME_HOB
HP,CME,Natural Gas (Henry Hub) Penultimate Financial,FGHJKMNQUVXZ,33,CHRIS/CME_HP
HR,CME,U.S. Midwest Domestic Hot-Rolled Coil Steel (CRU) Index,FGHJKMNQUVXZ,10,CHRIS/CME_HR
I5,CME,ERCOT North 345 kV Hub 5 MW Peak,FGHJKMNQUVXZ,22,CHRIS/CME_I5
I6,CME,ERCOT North 345 kV Hub 5 MW Off-Peak,FGHJKMNQUVXZ,34,CHRIS/CME_I6
IBO,ICE,Soybean Oil,FHKNQUVZ,2,CHRIS/ICE_IBO
IBV,CME,Ibovespa Index,GJMQVZ,2,CHRIS/CME_IBV
IC,MGEX,National Corn Index,FGHJKMNQUVXZ,1,CHRIS/MGEX_IC
ICN,ICE,Corn,HKNUZ,2,CHRIS/ICE_ICN
IH,MGEX,Hard Red Winter Wheat Index,FGHJKMNQUVXZ,1,CHRIS/MGEX_IH
IN,CME,Henry Hub Natural Gas (Platts Gas Daily/Platts IFERC) Index,HJ,2,CHRIS/CME_IN
IP,MGEX,Hard Red Spring Wheat Index,FGHJKMNQUVXZ,1,CHRIS/MGEX_IP
IR,SGX,Indonesia SICOM OTC TSR20 Rubber,FHJKMNQUVXZ,2,CHRIS/SGX_IR
IS,ICE,Soybean,FHKNQUX,2,CHRIS/ICE_IS
IS,MGEX,National Soybean Index,FGHJKMNQUVXZ,1,CHRIS/MGEX_IS
ISM,ICE,Soybean Meal,FHKNQUVZ,2,CHRIS/ICE_ISM
IW,MGEX,Soft Red Winter Wheat Index,FGHJKMNQUVXZ,1,CHRIS/MGEX_IW
IW,ICE,Wheat,HKNUZ,2,CHRIS/ICE_IW
J2,CME,PJM JCPL Zone Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_J2
J4,CME,PJM Western Hub Day-Ahead Peak Calendar-Month 5 MW  ,FGHJKMNQUVXZ,33,CHRIS/CME_J4
JM,CME,PJM Western Hub Real-Time Peak Calendar-Month 2.5 MW,FGHJKMNQUVXZ,12,CHRIS/CME_JM
JP,CME,PJM Off-Peak Calendar-Month LMP,FGHJKMNQUVXZ,2,CHRIS/CME_JP
JR,CME,Dow Jones Real Estate,HMUZ,2,CHRIS/CME_JR
JS,CME,Los Angeles Jet (OPIS) vs. NY Harbor ULSD,HJKM,2,CHRIS/CME_JS
JY,CME,Japanese Yen,HMUZ,2,CHRIS/CME_JY
K2,CME,MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,58,CHRIS/CME_K2
K3,CME,NYISO Zone A Day-Ahead Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,22,CHRIS/CME_K3
K4,CME,NYISO Zone A Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,58,CHRIS/CME_K4
KA,CME,NYISO Zone A Peak LBMP,FGHJKMNQUVXZ,4,CHRIS/CME_KA
KB,CME,NYISO Zone A Off-Peak LBMP,FGHJKMNQUVXZ,2,CHRIS/CME_KB
KC,ICE,Coffee C,HKNUZ,6,CHRIS/ICE_KC
KG,CME,NYISO Zone G Peak LBMP,FGHJKMNQUVXZ,2,CHRIS/CME_KG
KH,CME,NYISO Zone G Off-Peak LBMP,FGHJKMNQUVXZ,2,CHRIS/CME_KH
KI,CME,ISO New England Monthly Off Peak LMP Swap Future,FGHJKMNQUVXZ,2,CHRIS/CME_KI
KJ,CME,NYISO Zone J Peak LBMP,FGHJKMNQUVXZ,2,CHRIS/CME_KJ
KK,CME,NYISO Zone J Off-Peak LBMP,FGHJKMNQUVXZ,2,CHRIS/CME_KK
KP,MCX,Kapas,HJ,2,CHRIS/MCX_KP
KPK,MCX,Kapaisa Khali,FGZ,1,CHRIS/MCX_KPK
KRF,SGX,Platts Kerosene FOB Singapore Index,FGHJKMNQUVXZ,2,CHRIS/SGX_KRF
KRU,ICE,Russian Ruble/US Dollar,HMUZ,2,CHRIS/ICE_KRU
KS,CME,Singapore Jet Kerosene (Platts),FGHJKMNQUVXZ,5,CHRIS/CME_KS
KW,CME,KC HRW Wheat,HKNUZ,6,CHRIS/CME_KW
L,LIFFE,Short Sterling,HMUVXZ,16,CHRIS/LIFFE_L
L1,CME,PJM Western Hub Peak Calendar-Month Real-Time LMP,FGHJKMNQUVXZ,46,CHRIS/CME_L1
L3,CME,PJM Northern Illinois Hub Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,22,CHRIS/CME_L3
L4,CME,Tennessee 800 Leg Natural Gas (Platts Gas Daily/Platts IFERC) Index,H,2,CHRIS/CME_L4
L5,CME,PJM PPL Zone Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_L5
L6,CME,PJM PSEG Zone Peak Calendar-Month Day-Ahead LMP 5 MW,FGHJKMNQUVXZ,3,CHRIS/CME_L6
L9,CME,ISO New England West Central Massachusetts Zone 5 MW Off-Peak Calendar-Month Day Ahead LMP,FGHJKMNQUVXZ,34,CHRIS/CME_L9
LB,CME,Lumber,FHKNUX,2,CHRIS/CME_LB
LC,CME,Live Cattle,GJMQVZ,7,CHRIS/CME_LC
LGB,MX,30-year Canadian Bond,HMUZ,2,CHRIS/MX_LGB
LN,CME,Lean Hogs,GJKMNQVZ,10,CHRIS/CME_LN
LT,CME,Gulf Coast ULSD (Platts) Up-Down,FGHJKMNQUVXZ,22,CHRIS/CME_LT
LY,CME,Gulf Coast ULSD (Platts),FGHJKMNQUVXZ,10,CHRIS/CME_LY
M,ICE,UK Natural Gas,FGHJKMNQUVXZ,13,CHRIS/ICE_M
M6B,CME,E-micro British Pound/American Dollar,MU,2,CHRIS/CME_M6B
M6E,CME,E-micro Euro/American Dollar,MU,2,CHRIS/CME_M6E
MBE,CME,Mont Belvieu Spot Ethylene In-Well,FGHJKMNQUVXZ,2,CHRIS/CME_MBE
MBN,CME,Mont Belvieu Ethylene (PCW) Financial,FGHJKMNQUVXZ,2,CHRIS/CME_MBN
MCC,CME,Indonesian Coal (McCloskey sub-bituminous),FGHJKMNQUVXZ,2,CHRIS/CME_MCC
MD,CME,S&P 400 MidCap Index,HMUZ,2,CHRIS/CME_MD
ME,CME,Gulf Coast Jet (Platts) Up-Down,FGHJKMNQUVXZ,10,CHRIS/CME_ME
MEL,CME,MISO Indiana Hub (formerly Cinergy Hub) Real-Time Peak Calendar-Month 2.5 MW,FGHJKMNQUVXZ,2,CHRIS/CME_MEL
MEO,CME,Mini Gasoline Euro-bob Oxy NWE Barges (Argus),FHJKMNQUVXZ,4,CHRIS/CME_MEO
MF,CME,Gulf Coast No. 6 Fuel Oil 3.0% (Platts),FGHJKMNQUVXZ,10,CHRIS/CME_MF
MFA,LIFFE,Mini AEX Index,FGHJKMNQUVXZ,2,CHRIS/LIFFE_MFA
MFC,LIFFE,Mini CAC40 Index,FGHJKMNQUVXZ,2,CHRIS/LIFFE_MFC
MFF,CME,Coal (API4) FOB Richards Bay (ARGUS-McCloskey),FGHJKMNQUVXZ,22,CHRIS/CME_MFF
MG,CME,Gulf Coast No. 6 Fuel Oil (Platts) Crack Spread,FGHJKMNQUVXZ,2,CHRIS/CME_MG
,,,,,
