Date,Open,High,Low,Close,Volume,CME_RB1_FWpo
6/12/2017,1.5017,1.5241,1.4834,1.488,64835,111360
6/9/2017,1.4919,1.5135,1.4782,1.5017,56391,117035
6/8/2017,1.5023,1.5163,1.4854,1.4919,66510,120339
6/7/2017,1.5288,1.541,1.4873,1.4913,89433,125946
6/6/2017,1.539,1.5574,1.522,1.5545,81627,135797
6/5/2017,1.577,1.5905,1.5357,1.5381,67039,138006
6/2/2017,1.5921,1.596,1.5545,1.5771,63191,137962
6/1/2017,1.6051,1.6225,1.5885,1.6014,73561,140097
5/31/2017,1.62904,1.62908,1.57724,1.59964,55510,113549
5/30/2017,1.63302,1.65052,1.61354,1.63014,48722,90085
5/26/2017,1.6059,1.64142,1.59618,1.636,50726,71480
5/25/2017,1.65372,1.66842,1.59592,1.60782,42691,52198
5/24/2017,1.6685,1.675,1.641,1.6526,31630,38881
5/23/2017,1.6629,1.6691,1.6434,1.6614,33341,47856
5/22/2017,1.6549,1.6679,1.6487,1.6626,25588,51897
5/19/2017,1.6073,1.6544,1.606,1.6523,42829,58419
5/18/2017,1.5982,1.6172,1.5597,1.6063,42216,61417
5/17/2017,1.5928,1.6197,1.5846,1.6027,67896,73574
5/16/2017,1.596,1.615,1.5898,1.6043,55780,81523
5/15/2017,1.5785,1.6186,1.5777,1.5954,50536,86553
5/12/2017,1.567,1.5839,1.5574,1.5761,59631,97349
5/11/2017,1.5439,1.5709,1.5422,1.5622,67686,105349
5/10/2017,1.4849,1.5523,1.4805,1.5396,79941,112371
5/9/2017,1.5234,1.5296,1.4835,1.4895,53478,117720
5/8/2017,1.5065,1.5288,1.5006,1.5178,57800,128610
5/5/2017,1.4825,1.5141,1.45,1.5046,61956,135453
5/4/2017,1.5264,1.5299,1.4683,1.4812,78888,138460
5/3/2017,1.5387,1.546,1.5086,1.5338,75823,137838
5/2/2017,1.5245,1.553,1.5075,1.5136,71362,136158
5/1/2017,1.5481,1.5547,1.5142,1.5272,53653,137871
4/28/2017,1.55882,1.58694,1.53852,1.54808,68908,111642
4/27/2017,1.5826,1.58534,1.54128,1.55258,63319,89373
4/26/2017,1.6047,1.61816,1.5796,1.59194,47476,68565
4/25/2017,1.62218,1.63186,1.60132,1.62362,42189,52920
4/24/2017,1.6416,1.6554,1.6197,1.6214,26202,40600
4/21/2017,1.6683,1.6822,1.639,1.6445,31063,49737
4/20/2017,1.662,1.6787,1.6571,1.6705,30471,59421
4/19/2017,1.7016,1.7123,1.6499,1.659,33089,68966
4/18/2017,1.7229,1.7234,1.6928,1.711,45777,74962
4/17/2017,1.7333,1.7413,1.7175,1.7196,38228,80343
4/13/2017,1.7397,1.7449,1.7218,1.7349,56586,87359
4/12/2017,1.7639,1.771,1.7323,1.7417,66215,96801
4/11/2017,1.7617,1.7652,1.7364,1.7577,66765,106268
4/10/2017,1.7466,1.7615,1.744,1.7581,45656,113656
4/7/2017,1.7303,1.766,1.7154,1.7462,62185,118695
4/6/2017,1.7144,1.732,1.7087,1.7296,53753,126330
4/5/2017,1.7269,1.7374,1.7041,1.7153,63843,127624
4/4/2017,1.695,1.7283,1.6839,1.7217,57549,131754
4/3/2017,1.7007,1.715,1.6893,1.6937,61410,135101
3/31/2017,1.68476,1.70908,1.66614,1.70242,49004,105609
3/30/2017,1.67234,1.69358,1.66442,1.6827,40464,82958
3/29/2017,1.632,1.67506,1.62902,1.67256,43045,62052
3/28/2017,1.61912,1.65568,1.61538,1.6352,32601,42568
3/27/2017,1.6109,1.62,1.59,1.6189,20187,28044
3/24/2017,1.5878,1.6138,1.5809,1.6048,23334,35486
3/23/2017,1.6019,1.6094,1.5784,1.5896,20713,38567
3/22/2017,1.6112,1.6121,1.5834,1.6019,33439,43827
3/21/2017,1.6125,1.635,1.5988,1.6052,28450,48843
